date,Meta-Tech
2021-11-16,3.4984963598337124
2021-11-17,0.9611523232828765
2021-11-18,2.161744633138159
2021-11-19,3.169141333645055
2021-11-23,1.9530248300255675
2021-11-24,1.5284321363153457
2021-11-30,7.196204028586825
2021-12-01,7.375129447561306
2021-12-02,1.1913578100339057
2021-12-03,0.5280131945882794
2021-12-07,0.5539779960521362
2021-12-08,4.601037238768833
2021-12-09,0.7061909927522986
2021-12-10,2.1875499975886328
2021-12-14,1.2628093471289503
2021-12-15,2.0914188681606167
2021-12-16,1.1024396663522433
2021-12-17,0.0077044883625668244
2021-12-21,2.850679665866773
2021-12-22,3.6080218783538918
2021-12-23,2.4079489914988708
2021-12-28,0.5612804806757011
2021-12-29,2.0023219329472592
2021-12-30,1.5341210705227855
2021-12-31,4.203722170373941
2022-01-04,0.09661234508465248
2022-01-05,4.304362753609053
2022-01-06,5.834261454377857
2022-01-07,0.5208342444326576
2022-01-11,2.6520861599814096
2022-01-12,1.1345034908747629
2022-01-13,1.4699488661654074
2022-01-14,2.4786214182283945
2022-01-19,2.348999970762077
2022-01-20,0.6090061618110078
2022-01-21,6.429272993493631
2022-01-25,3.2319753244067226
2022-01-26,4.291254621643622
2022-01-27,0.7386349255069344
2022-01-28,0.33303468982367734
2022-02-01,3.5010406062810198
2022-02-02,1.7071496420145413
2022-02-03,50.31453905652968
2022-02-04,1.6441533685884506
2022-02-08,9.961330109553316
2022-02-09,13.70359449603454
2022-02-10,0.49660434446582147
2022-02-11,5.306080030779368
